"","year","month","day","speed_mph_mean","speed_mph_stddev"
"1",2019,1,1,33.3524922190605,5.69351963693644
"2",2019,1,2,32.4709829468889,6.09492053498146
"3",2019,1,3,30.3096601258033,6.10264025707636
"4",2019,1,4,30.5679496367312,5.99686304904882
"5",2019,1,5,31.4783667546736,5.68040885404173
"6",2019,1,6,32.9356325814184,5.69370560898014
"7",2019,1,7,31.106663745957,6.19127746087757
"8",2019,1,8,29.1491090636302,6.20937875231418
"9",2019,1,9,28.8061240674677,6.2009611861069
"10",2019,1,10,29.4552296116072,6.15458122330356
"11",2019,1,11,29.3832786264399,5.98687468743465
"12",2019,1,12,30.2894584075379,5.6211449855607
"13",2019,1,13,32.145196934218,5.71484339565013
"14",2019,1,14,30.1257041594114,6.17088208884813
"15",2019,1,15,29.5162593515928,6.16362235296126
"16",2019,1,16,29.448958440555,6.17327172328025
"17",2019,1,17,28.7626709687426,6.07979690618751
"18",2019,1,18,28.7317627695659,6.00623757169576
"19",2019,1,19,30.4243272453805,5.6606657670821
"20",2019,1,20,32.1184303729462,5.65853510133952
"21",2019,1,21,31.9858116807436,5.94290705621665
"22",2019,1,22,28.9464527721772,6.15047918346768
"23",2019,1,23,29.4111253660134,6.14223868750102
"24",2019,1,24,29.3544240533038,6.13659697500447
"25",2019,1,25,28.6889896292169,6.04757557423256
"26",2019,1,26,30.2386730900937,5.69231502018481
"27",2019,1,27,32.3838983423472,5.70062576240101
"28",2019,1,28,30.3560446501166,6.19158191254587
"29",2019,1,29,29.3641945270432,6.25126673057707
"30",2019,1,30,29.6482897980909,6.17287098528027
"31",2019,1,31,29.2704918764756,6.16333402391202
