"year","month","day","mean_speed"
2019,11,1,29.2835894300003
2019,11,2,30.0175039782621
2019,11,3,31.8000171212076
2019,11,4,30.4868348092209
2019,11,5,29.4480843635927
2019,11,6,29.4179063869174
2019,11,7,28.9777099589405
2019,11,8,29.153280618721
2019,11,9,29.5978561659285
2019,11,10,31.2346388727603
2019,11,11,31.911645364391
2019,11,14,28.1038692134371
2019,11,15,28.6207583159425
2019,11,16,30.0895231523997
2019,11,17,31.6772931005762
2019,11,18,28.9720381305488
2019,11,19,28.6800249831166
2019,11,20,28.7309377748157
2019,11,21,28.5926859970477
2019,11,22,28.9861523558893
2019,11,23,30.7800760672908
2019,11,24,32.1711532924116
2019,11,25,29.2169852812858
2019,11,26,29.4978356793221
2019,11,27,29.9610504961945
2019,11,28,34.1018851985725
2019,11,29,30.9668319054098
2019,11,30,31.8475976001268
2019,12,1,32.9977389339727
2019,12,2,30.2114001292393
2019,12,3,29.746527613086
2019,12,4,28.9507706321087
2019,12,5,29.2842557490571
2019,12,6,28.9119514258118
2019,12,7,29.916547881018
2019,12,8,32.2248629333806
2019,12,9,30.4896068434769
2019,12,10,28.5562018469975
2019,12,11,28.111194146525
2019,12,12,28.2565095003087
2019,12,13,28.8755911185431
2019,12,14,29.7356446038557
2019,12,15,31.9814631622996
2019,12,16,30.2489247501049
2019,12,17,29.3140217034966
2019,12,18,28.9406672612596
2019,12,19,27.9034037231071
2019,12,20,28.0147080768267
2019,12,21,30.7730251836202
2019,12,22,31.8750076910088
2019,12,23,30.6160445265282
2019,12,24,33.2417254039931
2019,12,25,37.5028209645744
2019,12,26,33.3599366520333
2019,12,27,32.0270336210638
2019,12,28,32.5065891330118
2019,12,29,32.7469406359117
2019,12,30,31.7189590752538
2019,12,31,30.5449515736319
