"flag","year","month","day","mean_speed"
"Thanksgiving",2018,11,21,29.9861625163174
"Thanksgiving",2018,11,22,33.9570844629378
"Thanksgiving",2018,11,23,32.3107037085624
"Thanksgiving",2018,11,24,32.5495647122228
"Thanksgiving",2018,11,25,33.9042531769832
"Thanksgiving",2019,11,27,29.9610504961945
"Thanksgiving",2019,11,28,34.1018851985725
"Thanksgiving",2019,11,29,30.9668319054098
"Thanksgiving",2019,11,30,31.8475976001268
"Thanksgiving",2019,12,1,32.9977389339727
"Christmas",2018,12,22,31.505580752731
"Christmas",2018,12,23,32.3214083730682
"Christmas",2018,12,24,34.1562231474523
"Christmas",2018,12,25,38.1118314943437
"Christmas",2018,12,26,33.1489382403907
"Christmas",2019,12,24,33.2417254039931
"Christmas",2019,12,25,37.5028209645744
"Christmas",2019,12,26,33.3599366520333
"Christmas",2019,12,27,32.0270336210638
"Christmas",2019,12,28,32.5065891330118
"Christmas",2019,12,29,32.7469406359117
